Date,Close,Adj. Close,P/E (LTM),EPS - Est High (NTM),EPS - Est Low (NTM),Volume,SI (%),Vol,# Buys,# Sell,# Hold,Total Rec,% Buy,% Sell,% Hold,Rating,Mkt Cap,EPS - Est Avg (NTM),std_5days,std_10days,std_15days
11/21/2007,34.23,25.31214292,22.55377524,2.01,1.68,89519870,1.08275634,0.432914719,14,0,9,23,0.608695652,0,0.391304348,4.15625,320236.674,79.76,0.311496388,0.499876651,1.370103576
11/23/2007,34.11,25.22340622,22.47470854,2.01,1.68,33468110,1.08275634,0.433260048,13,0,9,22,0.590909091,0,0.409090909,4.125,319114.0213,81.43,0.308107124,0.504540495,1.297615762
11/26/2007,32.97,24.3804076,21.72357492,2.01,1.68,80325820,1.08275634,0.446826753,13,0,9,22,0.590909091,0,0.409090909,4.125,308448.8209,81.3035,0.236072023,0.508646352,1.165169924
11/27/2007,33.06,24.44696012,21.78287494,2.01,1.68,84178400,1.163545452,0.30788418,13,0,9,22,0.590909091,0,0.409090909,4.125,309290.8104,85.59,0.604028145,0.56333925,1.049435222
11/28/2007,33.7,24.92022251,22.20456399,2.01,1.68,88586020,1.163545452,0.314189807,14,0,9,23,0.608695652,0,0.391304348,4.15152,315278.2913,90.3,0.728937583,0.61870923,0.893659145
11/29/2007,33.59,24.83888053,22.13208619,2.01,1.68,53610800,1.163545452,0.29521405,14,0,9,23,0.608695652,0,0.391304348,4.15152,314249.1931,89.15,0.581919238,0.550595637,0.656384759
11/30/2007,33.6,24.84627526,22.13867508,2.01,1.68,71025500,1.163545452,0.263561661,14,0,9,23,0.608695652,0,0.391304348,4.15152,314342.7474,90.56,0.472683827,0.603817485,0.513931624
12/3/2007,32.92,24.34343397,21.69063046,2.01,1.68,61765450,1.163545452,0.266154607,14,0,9,23,0.608695652,0,0.391304348,4.15152,307981.049,90.91,0.34107184,0.659733953,0.460093158
12/4/2007,32.77,24.2325131,21.59179709,2.01,1.68,54801430,1.163545452,0.265438243,14,0,9,23,0.608695652,0,0.391304348,4.15152,306577.7331,94.41,0.35662305,0.715138681,0.514473378
12/5/2007,34.15,25.25298512,22.50106411,2.01,1.68,84880330,1.163545452,0.310785808,14,0,9,23,0.608695652,0,0.391304348,4.15152,319488.2388,93.19,0.435350434,0.676100749,0.567675293
12/6/2007,34.55,25.54877411,22.76461976,2.01,1.68,50614820,1.163545452,0.31429891,14,0,9,23,0.608695652,0,0.391304348,4.15152,323230.4144,94.21,0.562521111,0.698445894,0.543768158
12/7/2007,34.53,25.53398466,22.75144198,2.01,1.68,40770950,1.163545452,0.303555315,14,0,9,23,0.608695652,0,0.391304348,4.15152,323043.3056,94.31,0.767508958,0.790752806,0.584939557
12/10/2007,34.76,25.70406333,22.90298648,2.01,1.68,36084120,1.163545452,0.294710075,14,0,9,23,0.608695652,0,0.391304348,4.15152,325195.0566,93.02,0.873487264,0.851492807,0.619936249
12/11/2007,34.1,25.2160115,22.46811965,2.01,1.68,55072760,1.206592412,0.283555978,14,0,9,23,0.608695652,0,0.391304348,4.15152,319020.4669,90.75,0.803255875,0.705348614,0.665745554
12/12/2007,34.47,25.48961631,22.71190863,2.01,1.68,63345500,1.206592412,0.282610068,14,0,9,23,0.608695652,0,0.391304348,4.15152,322481.9793,91.28,0.282789674,0.401353266,0.66864326
12/13/2007,35.22,26.04422067,23.20607548,2.01,1.68,73925730,1.206592412,0.265730073,14,0,9,23,0.608695652,0,0.391304348,4.15152,329498.5585,92.4,0.239937492,0.367308529,0.660517113
12/14/2007,35.31,26.11077319,23.26537551,2.01,1.68,71126330,1.206592412,0.258842517,14,0,9,23,0.608695652,0,0.391304348,4.15152,330340.548,89.08,0.412468181,0.446866871,0.746745319
12/17/2007,34.39,25.43045851,22.6591975,2.01,1.68,58119700,1.206592412,0.276065224,14,0,9,23,0.608695652,0,0.391304348,4.15152,321733.5442,85.09,0.508202715,0.589711794,0.830438782
12/18/2007,34.74,25.68927388,22.8898087,2.01,1.68,52781470,1.206592412,0.276229544,14,0,9,23,0.608695652,0,0.391304348,4.15152,325007.9478,86.89,0.536535181,0.779626691,0.786873258
12/19/2007,34.79,25.72624751,22.92275316,2.01,1.68,58468390,1.206592412,0.275697481,14,0,9,23,0.608695652,0,0.391304348,4.15152,325475.7197,89.38,0.422409754,0.818541386,0.750872508
12/20/2007,35.52,26.26606242,23.40374223,2.01,1.68,59345880,1.206592412,0.277914489,14,0,9,23,0.608695652,0,0.391304348,4.15152,332305.1902,90.58,0.376762525,0.771584949,0.75315021
12/21/2007,36.06,26.66537755,23.75954236,2.01,1.68,83630770,1.206592412,0.278576837,14,0,9,23,0.608695652,0,0.391304348,4.15152,337357.1272,91.26,0.457657077,0.785202734,0.794365875
12/24/2007,36.58,27.04990324,24.10216471,2.01,1.68,29621020,1.206592412,0.280584189,14,0,9,23,0.608695652,0,0.391304348,4.15152,342221.9554,91.01,0.675980769,0.778257312,0.870362814
12/26/2007,36.61,27.07208742,24.12193139,2.01,1.68,30252370,1.213494579,0.246026601,14,0,9,23,0.608695652,0,0.391304348,4.15152,342502.6186,92.85,0.7991996,0.666624165,0.89289897
12/27/2007,35.97,26.59882503,23.70024234,2.01,1.68,33314920,1.213494579,0.258194879,14,0,9,23,0.608695652,0,0.391304348,4.15152,336515.1377,94.25,0.769395867,0.588844443,0.817864816
12/28/2007,36.12,26.7097459,23.79907571,2.01,1.68,33446640,1.213494579,0.252260091,14,0,9,23,0.608695652,0,0.391304348,4.15152,337918.4535,94.45,0.456585151,0.673878492,0.809450137
12/31/2007,35.6,26.32522021,23.45645336,2.01,1.68,35230300,1.213494579,0.258860989,14,0,9,23,0.608695652,0,0.391304348,4.15152,333053.6253,92.64,0.303430387,0.762900896,0.824458264
1/2/2008,35.22,26.04422067,23.20607548,2.01,1.68,63005380,1.213494579,0.26297373,13,0,9,22,0.590909091,0,0.409090909,4.125,329498.5585,96.25,0.426884059,1.013206681,0.801074873
1/3/2008,35.37,26.15514154,23.30490886,2.01,1.68,49599660,1.213494579,0.249708359,13,0,9,22,0.590909091,0,0.409090909,4.125,330901.8743,95.21,0.526716242,0.958703407,0.785557127
1/4/2008,34.38,25.42306379,22.65260861,2.01,1.69,72091320,1.213494579,0.271951845,13,0,9,22,0.590909091,0,0.409090909,4.125,321639.9898,88.79,0.383705616,0.844333399,0.701710834
1/7/2008,34.61,25.59314246,22.80415311,2.01,1.69,80165380,1.213494579,0.23313508,13,0,9,22,0.590909091,0,0.409090909,4.125,323791.7407,88.82,0.634996063,0.818454506,0.711144617
1/8/2008,33.45,24.73535439,22.03984171,2.01,1.69,79150940,1.213494579,0.258391527,13,0,9,22,0.590909091,0,0.409090909,4.125,312939.4316,87.88,0.518488187,0.663157431,0.742516955
1/9/2008,34.44,25.46743214,22.69214196,2.01,1.69,74315510,1.213494579,0.279472581,13,0,9,22,0.590909091,0,0.409090909,4.125,322201.3161,85.22,0.76617883,0.574069295,0.900371352
1/10/2008,34.33,25.38609017,22.61966415,2.01,1.69,72447520,1.198445023,0.278549217,13,0,9,22,0.590909091,0,0.409090909,4.125,321172.2178,84.26,0.685018248,0.606106885,0.896871281
1/11/2008,33.91,25.07551173,22.34293071,2.01,1.69,55192960,1.198445023,0.273756879,13,0,9,22,0.590909091,0,0.409090909,4.125,317242.9335,81.08,0.455159313,0.544104769,0.920993253
1/14/2008,34.39,25.43045851,22.6591975,2.01,1.69,52792230,1.198445023,0.275645033,13,0,9,22,0.590909091,0,0.409090909,4.125,321733.5442,82.87,0.467888876,0.602896711,0.979896982
1/15/2008,34,25.14206425,22.40223074,2.02,1.69,61622260,1.198445023,0.266531426,13,0,9,22,0.590909091,0,0.409090909,4.125,318084.923,80.24,0.421639657,0.778634132,0.997746031
1/16/2008,33.23,24.57267044,21.8948861,2.02,1.69,120779500,1.198445023,0.275867421,13,0,9,22,0.590909091,0,0.409090909,4.125,310881.235,80.35,0.241722982,0.93981322,1.003236667
1/17/2008,33.11,24.48393374,21.8158194,2.02,1.69,94248460,1.198445023,0.262362741,13,0,9,22,0.590909091,0,0.409090909,4.125,309758.5824,80.12,0.463163038,0.871107214,0.998934194
1/18/2008,33.01,24.4099865,21.74993049,2.02,1.69,115428600,1.198445023,0.258757055,13,0,9,22,0.590909091,0,0.409090909,4.125,308823.0385,79.76,0.542051658,0.799071684,0.947207927
1/22/2008,31.99,23.65572457,21.07786357,2.02,1.69,108851600,1.198445023,0.276917847,14,0,8,22,0.636363636,0,0.363636364,4.1875,299280.4908,78.48,0.611489984,0.765521609,0.936733433
1/23/2008,31.93,23.61135622,21.03833022,2.02,1.69,137620300,1.198445023,0.262120098,14,0,8,22,0.636363636,0,0.363636364,4.1875,298719.1645,73.97,0.717997214,0.613347826,0.983437605
1/24/2008,33.25,24.58745989,18.88759185,2.07,1.77,155486700,1.204685033,0.29896003,14,0,8,22,0.636363636,0,0.363636364,4.1875,309457.0766,77.67,0.638654836,0.501393613,1.03081013
1/25/2008,32.94,24.35822342,18.711497,2.04,1.86,196955200,1.204685033,0.291988704,15,0,7,22,0.681818182,0,0.318181818,4.25,306571.9128,77.6,0.643210696,0.46540902,0.963643878
